"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"12/12/2019 8 p.m. EST",32848,32915,19517,-9417
CAL,"12/12/2019 9 p.m. EST",35300,35437,19329,-10486
CAL,"12/12/2019 10 p.m. EST",35055,35410,19230,-10862
CAL,"12/12/2019 11 p.m. EST",34446,34740,19133,-10493
CAL,"12/13/2019 12 a.m. EST",33701,33753,18414,-10573
CAL,"12/13/2019 1 a.m. EST",32213,32202,17015,-10543
CAL,"12/13/2019 2 a.m. EST",29870,29930,15512,-9720
CAL,"12/13/2019 3 a.m. EST",27598,27638,14301,-9810
CAL,"12/13/2019 4 a.m. EST",26219,25538,13965,-9059
CAL,"12/13/2019 5 a.m. EST",25188,24544,13981,-8560
CAL,"12/13/2019 6 a.m. EST",24507,23934,13750,-8300
CAL,"12/13/2019 7 a.m. EST",24376,23788,13972,-7905
CAL,"12/13/2019 8 a.m. EST",24974,24444,14362,-7960
CAL,"12/13/2019 9 a.m. EST",26704,26209,15631,-8222
CAL,"12/13/2019 10 a.m. EST",29701,29133,17503,-9256
CAL,"12/13/2019 11 a.m. EST",30954,30576,19892,-9122
CAL,"12/13/2019 12 p.m. EST",30485,30743,21433,-7160
CAL,"12/13/2019 1 p.m. EST",30263,30403,20628,-6000
CAL,"12/13/2019 2 p.m. EST",30142,30079,21285,-6373
CAL,"12/13/2019 3 p.m. EST",29958,29851,21454,-6185
CAL,"12/13/2019 4 p.m. EST",30075,29729,21520,-6006
CAL,"12/13/2019 5 p.m. EST",30125,30001,21490,-6552
CAL,"12/13/2019 6 p.m. EST",30479,30201,20415,-6588
CAL,"12/13/2019 7 p.m. EST",31105,30771,18120,-8014
CAL,"12/13/2019 8 p.m. EST",32824,32377,18931,-9881
CAL,"12/13/2019 9 p.m. EST",35100,34652,18674,-11212
CAL,"12/13/2019 10 p.m. EST",34661,34446,18194,-10944
CAL,"12/13/2019 11 p.m. EST",33890,33646,17728,-10960
CAL,"12/14/2019 12 a.m. EST",33056,32597,18315,-10895
CAL,"12/14/2019 1 a.m. EST",31743,31360,17956,-9738
CAL,"12/14/2019 2 a.m. EST",29792,29511,17295,-8649
CAL,"12/14/2019 3 a.m. EST",27746,27511,15796,-7788
CAL,"12/14/2019 4 a.m. EST",26215,25564,14871,-7852
CAL,"12/14/2019 5 a.m. EST",25089,24519,14466,-7536
CAL,"12/14/2019 6 a.m. EST",24290,23786,14606,-7430
CAL,"12/14/2019 7 a.m. EST",24258,23420,14639,-7345
CAL,"12/14/2019 8 a.m. EST",24433,23573,14694,-7378
CAL,"12/14/2019 9 a.m. EST",25185,24284,14891,-7547
CAL,"12/14/2019 10 a.m. EST",26411,25467,16246,-8147
CAL,"12/14/2019 11 a.m. EST",27265,26318,17881,-7698
CAL,"12/14/2019 12 p.m. EST",27839,26974,18937,-6708
CAL,"12/14/2019 1 p.m. EST",27870,27157,20351,-5297
CAL,"12/14/2019 2 p.m. EST",27657,26616,20648,-4520
CAL,"12/14/2019 3 p.m. EST",27125,26170,20679,-3979
CAL,"12/14/2019 4 p.m. EST",26761,25963,21206,-3755
CAL,"12/14/2019 5 p.m. EST",26672,26185,20986,-3773
CAL,"12/14/2019 6 p.m. EST",27462,26548,18977,-4787
CAL,"12/14/2019 7 p.m. EST",28156,27410,17454,-6273
CAL,"12/14/2019 8 p.m. EST",29903,29444,18593,-7208
CAL,"12/14/2019 9 p.m. EST",32633,32038,18926,-8488
CAL,"12/14/2019 10 p.m. EST",32549,32124,18630,-8730
CAL,"12/14/2019 11 p.m. EST",32029,31618,18185,-9154
CAL,"12/15/2019 12 a.m. EST",31426,30924,18336,-8729
CAL,"12/15/2019 1 a.m. EST",30521,29979,18178,-8646
CAL,"12/15/2019 2 a.m. EST",28950,28458,16744,-7605
CAL,"12/15/2019 3 a.m. EST",27178,26778,16157,-7513
CAL,"12/15/2019 4 a.m. EST",25945,25294,15434,-6958
CAL,"12/15/2019 5 a.m. EST",24979,24296,14838,-7069
CAL,"12/15/2019 6 a.m. EST",24549,23562,14623,-7149
CAL,"12/15/2019 7 a.m. EST",24358,23293,14387,-7262
CAL,"12/15/2019 8 a.m. EST",24472,23410,14576,-7308
CAL,"12/15/2019 9 a.m. EST",25013,24007,14829,-7537
CAL,"12/15/2019 10 a.m. EST",25962,24910,15173,-7964
CAL,"12/15/2019 11 a.m. EST",26423,25386,17288,-7421
CAL,"12/15/2019 12 p.m. EST",25829,25185,18991,-5161
CAL,"12/15/2019 1 p.m. EST",25417,24982,19914,-3675
CAL,"12/15/2019 2 p.m. EST",25141,24446,20461,-3187
CAL,"12/15/2019 3 p.m. EST",24906,24001,19972,-2886
